time,l_arm_shoulder_pitch_joint,l_arm_shoulder_roll_joint,l_arm_shoulder_yaw_joint,l_arm_elbow_joint,r_arm_shoulder_pitch_joint,r_arm_shoulder_roll_joint,r_arm_shoulder_yaw_joint,r_arm_elbow_joint
3.048000,-0.052579,0.182027,0.000000,0.184935,0.000000,-0.261800,0.000000,0.000000
3.050000,-0.054752,0.182047,0.000000,0.184308,0.000000,-0.261800,0.000000,0.000000
3.052000,-0.056923,0.182067,0.000000,0.183682,0.000000,-0.261800,0.000000,0.000000
3.054000,-0.059092,0.182088,0.000000,0.183056,0.000000,-0.261800,0.000000,0.000000
3.056000,-0.061258,0.182109,0.000000,0.182430,0.000000,-0.261800,0.000000,0.000000
3.058000,-0.063422,0.182132,0.000000,0.181804,0.000000,-0.261800,0.000000,0.000000
3.060000,-0.065583,0.182155,0.000000,0.181178,0.000000,-0.261800,0.000000,0.000000
3.062000,-0.067742,0.182179,0.000000,0.180553,0.000000,-0.261800,0.000000,0.000000
3.064000,-0.069898,0.182204,0.000000,0.179928,0.000000,-0.261800,0.000000,0.000000
3.066000,-0.072052,0.182230,0.000000,0.179303,0.000000,-0.261800,0.000000,0.000000
3.068000,-0.074202,0.182256,0.000000,0.178678,0.000000,-0.261800,0.000000,0.000000
3.070000,-0.076350,0.182283,0.000000,0.178053,0.000000,-0.261800,0.000000,0.000000
3.072000,-0.078495,0.182311,0.000000,0.177429,0.000000,-0.261800,0.000000,0.000000
3.074000,-0.080636,0.182340,0.000000,0.176805,0.000000,-0.261800,0.000000,0.000000
3.076000,-0.082775,0.182369,0.000000,0.176181,0.000000,-0.261800,0.000000,0.000000
3.078000,-0.084910,0.182400,0.000000,0.175557,0.000000,-0.261800,0.000000,0.000000
3.080000,-0.087041,0.182431,0.000000,0.174933,0.000000,-0.261800,0.000000,0.000000
3.082000,-0.089170,0.182463,0.000000,0.174310,0.000000,-0.261800,0.000000,0.000000
3.084000,-0.091295,0.182495,0.000000,0.173687,0.000000,-0.261800,0.000000,0.000000
3.086000,-0.093416,0.182529,0.000000,0.173064,0.000000,-0.261800,0.000000,0.000000
3.088000,-0.095533,0.182563,0.000000,0.172442,0.000000,-0.261800,0.000000,0.000000
3.090000,-0.097647,0.182598,0.000000,0.171820,0.000000,-0.261800,0.000000,0.000000
3.092000,-0.099757,0.182634,0.000000,0.171198,0.000000,-0.261800,0.000000,0.000000
3.094000,-0.101863,0.182670,0.000000,0.170576,0.000000,-0.261800,0.000000,0.000000
3.096000,-0.103965,0.182708,0.000000,0.169955,0.000000,-0.261800,0.000000,0.000000
3.098000,-0.106062,0.182746,0.000000,0.169334,0.000000,-0.261800,0.000000,0.000000
3.100000,-0.108156,0.182785,0.000000,0.168713,0.000000,-0.261800,0.000000,0.000000
3.102000,-0.110245,0.182825,0.000000,0.168093,0.000000,-0.261800,0.000000,0.000000
3.104000,-0.112330,0.182865,0.000000,0.167473,0.000000,-0.261800,0.000000,0.000000
3.106000,-0.114411,0.182906,0.000000,0.166853,0.000000,-0.261800,0.000000,0.000000
3.108000,-0.116487,0.182948,0.000000,0.166233,0.000000,-0.261800,0.000000,0.000000
3.110000,-0.118558,0.182991,0.000000,0.165614,0.000000,-0.261800,0.000000,0.000000
3.112000,-0.120625,0.183035,0.000000,0.164995,0.000000,-0.261800,0.000000,0.000000
