time,waist_roll_joint,waist_pitch_joint
1.454000,0.138176,0.168829
1.456000,0.138310,0.168718
1.458000,0.138444,0.168605
1.460000,0.138577,0.168491
1.462000,0.138711,0.168376
1.464000,0.138844,0.168260
1.466000,0.138976,0.168143
1.468000,0.139109,0.168025
1.470000,0.139241,0.167906
1.472000,0.139374,0.167785
1.474000,0.139505,0.167664
1.476000,0.139637,0.167542
1.478000,0.139769,0.167418
1.480000,0.139900,0.167294
1.482000,0.140031,0.167168
1.484000,0.140162,0.167041
1.486000,0.140292,0.166914
1.488000,0.140423,0.166785
1.490000,0.140553,0.166655
1.492000,0.140683,0.166524
1.494000,0.140812,0.166393
1.496000,0.140942,0.166260
1.498000,0.141071,0.166126
1.500000,0.141200,0.165991
1.502000,0.141329,0.165855
1.504000,0.141457,0.165717
1.506000,0.141586,0.165579
1.508000,0.141714,0.165440
1.510000,0.141842,0.165300
1.512000,0.141970,0.165159
1.514000,0.142097,0.165016
1.516000,0.142224,0.164873
1.518000,0.142351,0.164728
1.520000,0.142478,0.164583
1.522000,0.142605,0.164436
1.524000,0.142731,0.164289
1.526000,0.142857,0.164140
1.528000,0.142983,0.163991
1.530000,0.143109,0.163840
1.532000,0.143234,0.163688
1.534000,0.143359,0.163536
1.536000,0.143484,0.163382
1.538000,0.143609,0.163227
1.540000,0.143734,0.163071
1.542000,0.143858,0.162914
1.544000,0.143982,0.162756
1.546000,0.144106,0.162598
1.548000,0.144229,0.162438
1.550000,0.144353,0.162277
1.552000,0.144476,0.162115
1.554000,0.144599,0.161952
1.556000,0.144722,0.161788
1.558000,0.144844,0.161623
1.560000,0.144966,0.161456
1.562000,0.145088,0.161289
1.564000,0.145210,0.161121
1.566000,0.145332,0.160952
1.568000,0.145453,0.160782
1.570000,0.145574,0.160611
1.572000,0.145695,0.160439
1.574000,0.145816,0.160265
1.576000,0.145936,0.160091
1.578000,0.146056,0.159916
1.580000,0.146176,0.159740
1.582000,0.146296,0.159562
1.584000,0.146415,0.159384
1.586000,0.146535,0.159205
1.588000,0.146654,0.159025
1.590000,0.146773,0.158843
1.592000,0.146891,0.158661
1.594000,0.147009,0.158478
1.596000,0.147128,0.158294
1.598000,0.147245,0.158108
1.600000,0.147363,0.157922
1.602000,0.147480,0.157735
1.604000,0.147598,0.157547
1.606000,0.147715,0.157357
1.608000,0.147831,0.157167
1.610000,0.147948,0.156976
1.612000,0.148064,0.156784
1.614000,0.148180,0.156590
1.616000,0.148296,0.156396
1.618000,0.148411,0.156201
1.620000,0.148527,0.156005
1.622000,0.148642,0.155808
1.624000,0.148756,0.155609
1.626000,0.148871,0.155410
1.628000,0.148985,0.155210
1.630000,0.149100,0.155009
1.632000,0.149213,0.154807
1.634000,0.149327,0.154604
1.636000,0.149441,0.154400
1.638000,0.149554,0.154195
1.640000,0.149667,0.153989
1.642000,0.149779,0.153782
1.644000,0.149892,0.153574
1.646000,0.150004,0.153365
1.648000,0.150116,0.153155
1.650000,0.150228,0.152944
1.652000,0.150339,0.152733
1.654000,0.150451,0.152520
1.656000,0.150562,0.152306
1.658000,0.150673,0.152091
1.660000,0.150783,0.151876
1.662000,0.150893,0.151659
1.664000,0.151004,0.151442
1.666000,0.151113,0.151223
1.668000,0.151223,0.151004
1.670000,0.151332,0.150783
1.672000,0.151442,0.150562
1.674000,0.151550,0.150339
1.676000,0.151659,0.150116
1.678000,0.151768,0.149892
1.680000,0.151876,0.149667
1.682000,0.151984,0.149441
1.684000,0.152091,0.149213
1.686000,0.152199,0.148985
1.688000,0.152306,0.148756
1.690000,0.152413,0.148527
1.692000,0.152520,0.148296
1.694000,0.152626,0.148064
1.696000,0.152733,0.147831
1.698000,0.152839,0.147598
1.700000,0.152944,0.147363
1.702000,0.153050,0.147128
1.704000,0.153155,0.146891
1.706000,0.153260,0.146654
1.708000,0.153365,0.146415
1.710000,0.153470,0.146176
1.712000,0.153574,0.145936
1.714000,0.153678,0.145695
1.716000,0.153782,0.145453
1.718000,0.153886,0.145210
1.720000,0.153989,0.144966
1.722000,0.154092,0.144722
1.724000,0.154195,0.144476
1.726000,0.154297,0.144229
1.728000,0.154400,0.143982
1.730000,0.154502,0.143734
1.732000,0.154604,0.143484
1.734000,0.154706,0.143234
1.736000,0.154807,0.142983
1.738000,0.154908,0.142731
1.740000,0.155009,0.142478
1.742000,0.155110,0.142224
1.744000,0.155210,0.141970
1.746000,0.155310,0.141714
1.748000,0.155410,0.141457
1.750000,0.155510,0.141200
1.752000,0.155609,0.140942
1.754000,0.155709,0.140683
1.756000,0.155808,0.140423
1.758000,0.155906,0.140162
1.760000,0.156005,0.139900
1.762000,0.156103,0.139637
1.764000,0.156201,0.139374
1.766000,0.156299,0.139109
1.768000,0.156396,0.138844
1.770000,0.156493,0.138577
1.772000,0.156590,0.138310
1.774000,0.156687,0.138042
1.776000,0.156784,0.137774
1.778000,0.156880,0.137504
1.780000,0.156976,0.137233
1.782000,0.157072,0.136962
1.784000,0.157167,0.136689
1.786000,0.157262,0.136416
1.788000,0.157357,0.136142
1.790000,0.157452,0.135867
1.792000,0.157547,0.135592
1.794000,0.157641,0.135315
1.796000,0.157735,0.135037
1.798000,0.157829,0.134759
1.800000,0.157922,0.134480
1.802000,0.158015,0.134200
1.804000,0.158108,0.133919
1.806000,0.158201,0.133637
1.808000,0.158294,0.133355
1.810000,0.158386,0.133071
1.812000,0.158478,0.132787
1.814000,0.158570,0.132502
1.816000,0.158661,0.132216
1.818000,0.158752,0.131929
1.820000,0.158843,0.131642
1.822000,0.158934,0.131353
1.824000,0.159025,0.131064
1.826000,0.159115,0.130774
1.828000,0.159205,0.130483
1.830000,0.159295,0.130191
1.832000,0.159384,0.129899
1.834000,0.159473,0.129605
1.836000,0.159562,0.129311
1.838000,0.159651,0.129016
1.840000,0.159740,0.128720
1.842000,0.159828,0.128424
1.844000,0.159916,0.128126
1.846000,0.160004,0.127828
1.848000,0.160091,0.127529
1.850000,0.160178,0.127229
